Time	clk	rst_n	start	agua_ok	state
0	0	0	0	0	x
5000	1	0	0	0	1
10000	0	0	0	0	1
15000	1	0	0	0	1
20000	0	1	0	0	1
25000	1	1	0	0	1
30000	0	1	0	0	1
35000	1	1	0	0	1
40000	0	0	1	0	1
45000	1	0	1	0	2
50000	0	0	0	0	2
55000	1	0	0	0	3
60000	0	0	0	0	3
65000	1	0	0	0	4
70000	0	0	0	0	4
75000	1	0	0	0	3
80000	0	0	0	0	3
85000	1	0	0	0	4
90000	0	0	0	0	4
95000	1	0	0	0	3
100000	0	0	0	0	3
105000	1	0	0	0	4
110000	0	0	0	0	4
115000	1	0	0	0	3
120000	0	0	0	1	3
125000	1	0	0	1	5
130000	0	0	0	0	5
135000	1	0	0	0	6
140000	0	0	0	0	6
145000	1	0	0	0	7
150000	0	0	0	0	7
155000	1	0	0	0	8
160000	0	0	0	0	8
165000	1	0	0	0	9
170000	0	0	0	0	9
175000	1	0	0	0	1
180000	0	0	0	0	1
185000	1	0	0	0	1
190000	0	0	0	0	1
195000	1	0	0	0	1
200000	0	0	0	0	1
205000	1	0	0	0	1
210000	0	0	0	0	1
215000	1	0	0	0	1
220000	0	0	0	0	1
225000	1	0	0	0	1
230000	0	0	0	0	1
235000	1	0	0	0	1
240000	0	0	0	0	1
245000	1	0	0	0	1
250000	0	0	0	0	1
255000	1	0	0	0	1
260000	0	0	0	0	1
265000	1	0	0	0	1
270000	0	0	0	0	1
275000	1	0	0	0	1
tb.v:53: $finish called at 280000 (1ps)
280000	0	0	0	0	1
